repo,build_tool,module_rel,class_path,fqcn,test_paths,fatjar_path
quarkusio/quarkus,maven,extensions/oidc/runtime,extensions/oidc/runtime/src/main/java/io/quarkus/oidc/OidcTenantConfig.java,io.quarkus.oidc.OidcTenantConfig,extensions/oidc/runtime/src/test/java/io/quarkus/oidc/runtime/OidcTenantConfigTest.java,FAIL
quarkusio/quarkus,maven,extensions/qute/deployment,extensions/qute/deployment/src/main/java/io/quarkus/qute/deployment/QuteProcessor.java,io.quarkus.qute.deployment.QuteProcessor,extensions/qute/deployment/src/test/java/io/quarkus/qute/deployment/QuteProcessorTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/quarkusio_quarkus/extensions_qute_deployment/quarkus-qute-deployment-999-SNAPSHOT-jar-with-dependencies.jar
spring-projects/spring-boot,gradle,buildSrc,buildSrc/src/main/java/org/springframework/boot/build/bom/Library.java,org.springframework.boot.build.bom.Library,buildSrc/src/test/java/org/springframework/boot/build/bom/LibraryTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/spring-projects_spring-boot/buildSrc/buildSrc.jar
spring-projects/spring-boot,gradle,buildSrc,buildSrc/src/main/java/org/springframework/boot/build/architecture/ArchitectureCheck.java,org.springframework.boot.build.architecture.ArchitectureCheck,buildSrc/src/test/java/org/springframework/boot/build/architecture/ArchitectureCheckTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/spring-projects_spring-boot/buildSrc/buildSrc.jar
spring-projects/spring-framework,gradle,.,spring-web/src/main/java/org/springframework/http/HttpHeaders.java,org.springframework.http.HttpHeaders,spring-web/src/test/java/org/springframework/http/HttpHeadersTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/spring-projects_spring-framework/spring-7.0.3-SNAPSHOT.jar
spring-projects/spring-framework,gradle,.,spring-beans/src/main/java/org/springframework/beans/factory/annotation/AutowiredAnnotationBeanPostProcessor.java,org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor,spring-beans/src/test/java/org/springframework/beans/factory/annotation/AutowiredAnnotationBeanPostProcessorTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/spring-projects_spring-framework/spring-7.0.3-SNAPSHOT.jar
checkstyle/checkstyle,maven,.,src/main/java/com/puppycrawl/tools/checkstyle/checks/SuppressWarningsHolder.java,,src/test/java/com/puppycrawl/tools/checkstyle/checks/SuppressWarningsHolderTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/checkstyle_checkstyle/checkstyle-13.0.1-SNAPSHOT.jar
checkstyle/checkstyle,maven,.,src/main/java/com/puppycrawl/tools/checkstyle/checks/blocks/RightCurlyCheck.java,,src/test/java/com/puppycrawl/tools/checkstyle/checks/blocks/RightCurlyCheckTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/checkstyle_checkstyle/checkstyle-13.0.1-SNAPSHOT.jar
apache/shardingsphere,maven,mode/type/standalone/core,mode/type/standalone/core/src/main/java/org/apache/shardingsphere/mode/manager/standalone/persist/service/StandaloneMetaDataManagerPersistService.java,org.apache.shardingsphere.mode.manager.standalone.persist.service.StandaloneMetaDataManagerPersistService,mode/type/standalone/core/src/test/java/org/apache/shardingsphere/mode/manager/standalone/persist/service/StandaloneMetaDataManagerPersistServiceTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_shardingsphere/mode_type_standalone_core/shardingsphere-standalone-mode-core-5.5.3-SNAPSHOT-jar-with-dependencies.jar
apache/shardingsphere,maven,mode/core,mode/core/src/main/java/org/apache/shardingsphere/mode/manager/ContextManager.java,org.apache.shardingsphere.mode.manager.ContextManager,mode/core/src/test/java/org/apache/shardingsphere/mode/manager/ContextManagerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_shardingsphere/mode_core/shardingsphere-mode-core-5.5.3-SNAPSHOT-jar-with-dependencies.jar
keycloak/keycloak,maven,common,common/src/main/java/org/keycloak/common/Profile.java,org.keycloak.common.Profile,common/src/test/java/org/keycloak/common/ProfileTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/keycloak_keycloak/common/keycloak-common-999.0.0-SNAPSHOT-jar-with-dependencies.jar
keycloak/keycloak,maven,quarkus/runtime,quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/cli/Picocli.java,org.keycloak.quarkus.runtime.cli.Picocli,quarkus/runtime/src/test/java/org/keycloak/quarkus/runtime/cli/PicocliTest.java,FAIL
dropwizard/dropwizard,maven,dropwizard-jersey,dropwizard-jersey/src/main/java/io/dropwizard/jersey/DropwizardResourceConfig.java,io.dropwizard.jersey.DropwizardResourceConfig,dropwizard-jersey/src/test/java/io/dropwizard/jersey/DropwizardResourceConfigTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/dropwizard_dropwizard/dropwizard-jersey/dropwizard-jersey-5.0.1-SNAPSHOT-jar-with-dependencies.jar
dropwizard/dropwizard,maven,dropwizard-client,dropwizard-client/src/main/java/io/dropwizard/client/HttpClientBuilder.java,io.dropwizard.client.HttpClientBuilder,dropwizard-client/src/test/java/io/dropwizard/client/HttpClientBuilderTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/dropwizard_dropwizard/dropwizard-client/dropwizard-client-5.0.1-SNAPSHOT-jar-with-dependencies.jar
seleniumhq/selenium,SKIP-REPO,,java/src/org/openqa/selenium/grid/node/local/LocalNode.java,,java/test/org/openqa/selenium/grid/node/local/LocalNodeTest.java,SKIP-REPO
seleniumhq/selenium,SKIP-REPO,,java/src/org/openqa/selenium/grid/distributor/local/LocalDistributor.java,,java/test/org/openqa/selenium/grid/distributor/local/LocalDistributorTest.java,SKIP-REPO
apache/dubbo,maven,dubbo-config/dubbo-config-api,dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/ServiceConfig.java,org.apache.dubbo.config.ServiceConfig,dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/ServiceConfigTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_dubbo/dubbo-config_dubbo-config-api/dubbo-config-api-3.3.7-SNAPSHOT-jar-with-dependencies.jar
apache/dubbo,maven,dubbo-registry/dubbo-registry-api,dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistry.java,org.apache.dubbo.registry.client.ServiceDiscoveryRegistry,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistryTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_dubbo/dubbo-registry_dubbo-registry-api/dubbo-registry-api-3.3.7-SNAPSHOT-jar-with-dependencies.jar
apache/pulsar,maven,pulsar-client,pulsar-client/src/main/java/org/apache/pulsar/client/impl/PulsarClientImpl.java,org.apache.pulsar.client.impl.PulsarClientImpl,pulsar-client/src/test/java/org/apache/pulsar/client/impl/PulsarClientImplTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_pulsar/pulsar-client/pulsar-client-original.jar
apache/pulsar,maven,pulsar-client,pulsar-client/src/main/java/org/apache/pulsar/client/impl/MultiTopicsConsumerImpl.java,org.apache.pulsar.client.impl.MultiTopicsConsumerImpl,pulsar-client/src/test/java/org/apache/pulsar/client/impl/MultiTopicsConsumerImplTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_pulsar/pulsar-client/pulsar-client-original.jar
hibernate/hibernate-orm,SKIP-REPO,,hibernate-core/src/main/java/org/hibernate/mapping/Component.java,org.hibernate.mapping.Component,hibernate-core/src/test/java/org/hibernate/orm/test/component/basic/ComponentTest.java,SKIP-REPO
hibernate/hibernate-orm,SKIP-REPO,,hibernate-core/src/main/java/org/hibernate/engine/spi/SessionDelegatorBaseImpl.java,org.hibernate.engine.spi.SessionDelegatorBaseImpl,hibernate-core/src/test/java/org/hibernate/orm/test/delegation/SessionDelegatorBaseImplTest.java,SKIP-REPO
hazelcast/hazelcast,maven,hazelcast,hazelcast/src/main/java/com/hazelcast/config/CacheConfig.java,com.hazelcast.config.CacheConfig,hazelcast/src/test/java/com/hazelcast/config/CacheConfigTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/hazelcast_hazelcast/hazelcast/hazelcast-5.7.0-SNAPSHOT-jar-with-dependencies.jar
