test_selector,class_name,newly_covered_lines,upgraded_to_full_lines
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.NOP_FallbackServiceProvider,8;15;17-19,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.LegacyAbstractLogger,10,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.LoggerFactory,99-101;107;113;117;119-120;126;128-130;132;137-139;144;149-150;153-154;161;183-185;187;191-194;196-198;208;212-213;216-218;279-280;282-283;286-288;292;294;302-306;308-310;318;367;369-372;375;383-384;387;396;403;407;410;421-422;447-448;456;472;482-486;488;490;492,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.BasicMDCAdapter$1,48,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.SubstituteLoggerFactory,43;45;47;49;65;69;73-74;77-79,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.NOPLoggerFactory,39;41,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.BasicMarkerFactory,44;52-53,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.AbstractLogger,42,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.ThreadLocalMapOfStacks,16;21,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.NOPMDCAdapter,41,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.SubstituteServiceProvider,8-11;19,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.BasicMDCAdapter,44;46;48,
org.apache.shenyu.common.enums.PluginEnum_ESTest#testGetCodeReturningNegative,org.slf4j.helpers.Util,39;42;44;47-48;52-54;71,
