group_id,variant,candidate_file,manual_file,token_jaccard,shingle_jaccard_k5,lcs_token_ratio,codebleu,closeness_score,style_distance_to_manual,cyclo_avg,avg_method_loc,loc,methods
quarkusio_quarkus_io_quarkus_qute_deployment_QuteProcessor.adopted,auto,results/reduced-agt/quarkusio_quarkus_io_quarkus_qute_deployment_QuteProcessor/io/quarkus/qute/deployment/QuteProcessor_ESTest_Top100.java,../collected-tests/manual/quarkusio_quarkus/io.quarkus.qute.deployment.QuteProcessor/QuteProcessorTest.java,0.07278020378457059,0.009471076788576425,0.01928677399857135,0.38944797288520305,0.13808911045876224,6.410062474562079,1.36,15.25,1839,100
quarkusio_quarkus_io_quarkus_qute_deployment_QuteProcessor.adopted,adopted,results/llm-out/quarkusio_quarkus_io_quarkus_qute_deployment_QuteProcessor/io/quarkus/qute/deployment/QuteProcessor_ESTest_Adopted.java,../collected-tests/manual/quarkusio_quarkus/io.quarkus.qute.deployment.QuteProcessor/QuteProcessorTest.java,0.09498680738786279,0.03328311190247911,0.021792940163581576,0.575033368504459,0.2058508936323703,6.535920479222816,1.392156862745098,15.264705882352942,1877,102
quarkusio_quarkus_io_quarkus_qute_deployment_QuteProcessor.agentic,agentic,results/llm-out/quarkusio_quarkus_io_quarkus_qute_deployment_QuteProcessor/io/quarkus/qute/deployment/QuteProcessor_ESTest_Adopted_Agentic.java,../collected-tests/manual/quarkusio_quarkus/io.quarkus.qute.deployment.QuteProcessor/QuteProcessorTest.java,0.22375690607734808,0.13070866141732285,0.11489776046738072,0.7216765798843322,0.3234465056994423,2.2116239502900767,1.5,11.294117647058824,524,34
dropwizard_dropwizard_io_dropwizard_client_HttpClientBuilder.adopted,auto,results/reduced-agt/dropwizard_dropwizard_io_dropwizard_client_HttpClientBuilder/io/dropwizard/client/HttpClientBuilder_ESTest_Top100.java,../collected-tests/manual/dropwizard_dropwizard/io.dropwizard.client.HttpClientBuilder/HttpClientBuilderTest.java,0.22171945701357465,0.0641998734977862,0.3667049368541906,0.22725376217057203,0.20512096947406053,0.27316414767060504,1.1851851851851851,10.88888888888889,393,27
dropwizard_dropwizard_io_dropwizard_client_HttpClientBuilder.adopted,adopted,results/llm-out/dropwizard_dropwizard_io_dropwizard_client_HttpClientBuilder/io/dropwizard/client/HttpClientBuilder_ESTest_Adopted.java,../collected-tests/manual/dropwizard_dropwizard/io.dropwizard.client.HttpClientBuilder/HttpClientBuilderTest.java,0.6044176706827309,0.26297252876262034,0.37354569072630744,0.46504027791074837,0.4139965142838183,0.25529215726872173,1.1235955056179776,10.44943820224719,1166,89
wildfly_wildfly_org_jboss_as_connector_subsystems_datasources_Constants.adopted,auto,results/reduced-agt/wildfly_wildfly_org_jboss_as_connector_subsystems_datasources_Constants/org/jboss/as/connector/subsystems/datasources/Constants_ESTest_Top100.java,../collected-tests/manual/wildfly_wildfly/org.jboss.as.connector.subsystems.datasources.Constants/TestConstants.java,0.20930232558139536,0.0,0.2641509433962264,0.24709419719238324,0.16881891295323934,2625000000.114752,1.0,3.0,9,1
wildfly_wildfly_org_jboss_as_connector_subsystems_datasources_Constants.adopted,adopted,results/llm-out/wildfly_wildfly_org_jboss_as_connector_subsystems_datasources_Constants/org/jboss/as/connector/subsystems/datasources/Constants_ESTest_Adopted.java,../collected-tests/manual/wildfly_wildfly/org.jboss.as.connector.subsystems.datasources.Constants/TestConstants.java,0.1791044776119403,0.0,0.11564625850340136,0.2656945339765695,0.1386585074160392,11891447368.622492,1.5,6.5,23,2
wildfly_wildfly_org_jboss_as_connector_subsystems_datasources_Constants.agentic,agentic,results/llm-out/wildfly_wildfly_org_jboss_as_connector_subsystems_datasources_Constants/org/jboss/as/connector/subsystems/datasources/Constants_ESTest_Adopted_Agentic.java,../collected-tests/manual/wildfly_wildfly/org.jboss.as.connector.subsystems.datasources.Constants/TestConstants.java,0.23076923076923078,0.0,0.2545454545454545,0.37461358593835115,0.2094470128444424,12303571428.676632,1.0,4.0,17,1
javaparser_javaparser_com_github_javaparser_ast_visitor_CloneVisitor.adopted,auto,results/reduced-agt/javaparser_javaparser_com_github_javaparser_ast_visitor_CloneVisitor/com/github/javaparser/ast/visitor/CloneVisitor_ESTest_Top100.java,../collected-tests/manual/javaparser_javaparser/com.github.javaparser.ast.visitor.CloneVisitor/CloneVisitorTest.java,0.09871244635193133,0.00938337801608579,0.052259728608276323,0.3113754545414368,0.1264220847592983,6.846462120531451,1.0,7.52,1068,100
javaparser_javaparser_com_github_javaparser_ast_visitor_CloneVisitor.adopted,adopted,results/llm-out/javaparser_javaparser_com_github_javaparser_ast_visitor_CloneVisitor/com/github/javaparser/ast/visitor/CloneVisitor_ESTest_Adopted.java,../collected-tests/manual/javaparser_javaparser/com.github.javaparser.ast.visitor.CloneVisitor/CloneVisitorTest.java,0.15966386554621848,0.05860566448801743,0.05981808453718566,0.4716579400183296,0.20297547136858493,6.878138671696105,1.0,7.842105263157895,1124,19
