test_selector,class_name,newly_covered_lines,upgraded_to_full_lines
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.builder.item.BuildItem,14-16;21;24,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.builder.item.MultiBuildItem,8-9,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.arc.processor.ScopeInfo,21-25;40,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.arc.deployment.AutoAddScopeBuildItem,25;38-46;61,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.arc.processor.BuiltinScope,16;18-23;27-29;36,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.arc.deployment.AutoAddScopeBuildItem$Builder,109-114;164;241-242;252;262-263;299-300;302;304;308;311,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.qute.deployment.QuteProcessor,172;3586-3591,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.arc.deployment.AutoAddScopeBuildItem$MatchPredicate$1,89,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#addSingletonToNamedRecordsHasExpectedReason,io.quarkus.arc.deployment.AutoAddScopeBuildItem$MatchPredicate,88-89,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#additionalBeansIsNotRemovable,io.quarkus.builder.item.BuildItem,14-16;21;24,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#additionalBeansIsNotRemovable,io.quarkus.builder.item.MultiBuildItem,8-9,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#additionalBeansIsNotRemovable,io.quarkus.arc.deployment.AdditionalBeanBuildItem$Builder,95;98-100;103-104;133-134;153,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#additionalBeansIsNotRemovable,io.quarkus.qute.deployment.QuteProcessor,172;291-293;298,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#additionalBeansIsNotRemovable,io.quarkus.arc.deployment.AdditionalBeanBuildItem,33;70-74;85,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#analyzeTemplatesProducesCheckedFragmentValidationForNonTag,io.quarkus.builder.item.BuildItem,14-16;21;24,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#analyzeTemplatesProducesCheckedFragmentValidationForNonTag,io.quarkus.qute.InsertSectionHelper$Factory,52;56;61,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#analyzeTemplatesProducesCheckedFragmentValidationForNonTag,io.quarkus.runtime.annotations.ConfigPhase,3;7;11;16;24-29,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#analyzeTemplatesProducesCheckedFragmentValidationForNonTag,io.quarkus.qute.FragmentSectionHelper$Factory,62;64;70;74;79-83,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#analyzeTemplatesProducesCheckedFragmentValidationForNonTag,io.quarkus.qute.SetSectionHelper$Factory,102;108;113,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#analyzeTemplatesProducesCheckedFragmentValidationForNonTag,io.quarkus.qute.LoopSectionHelper$Factory,182-184;187;189;193;198-202;206,
io.quarkus.qute.deployment.QuteProcessor_ESTest_Adopted#analyzeTemplatesProducesCheckedFragmentValidationForNonTag,io.quarkus.qute.IncludeSectionHelper$AbstractIncludeFactory,175;180;188;192-208,
