repo,fqcn,variant,line_percentage_coverage,line_covered,line_total,branch_percentage_coverage,branch_covered,branch_total,failed,timeout,skipped
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,adopted,22.494553,413,1836,14.380165,174,1210,0,0,0
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,agentic,5.882353,108,1836,4.132231,50,1210,0,0,0
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,adopted,94.160584,129,137,93.181818,41,44,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,adopted,100.000000,527,527,0.000000,0,0,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,agentic,100.000000,527,527,0.000000,0,0,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,adopted,94.130926,834,886,75.000000,12,16,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,agentic,63.431151,562,886,75.000000,12,16,0,0,0
seata/seata,io.seata.config.FileConfiguration,adopted,0.000000,0,19,0.000000,0,0,0,0,0
seata/seata,io.seata.config.FileConfiguration,agentic,52.631579,10,19,0.000000,0,0,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,adopted,24.467532,471,1925,9.362934,97,1036,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,agentic,24.467532,471,1925,9.362934,97,1036,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,adopted,5.000000,85,1700,2.145923,30,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,agentic,23.823529,405,1700,16.809728,235,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,adopted,71.339564,229,321,58.536585,144,246,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,agentic,71.339564,229,321,58.536585,144,246,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,adopted,100.000000,67,67,0.000000,0,0,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,agentic,100.000000,67,67,0.000000,0,0,0,0,0
