repo,fqcn,variant,line_percentage_coverage,line_covered,line_total,branch_percentage_coverage,branch_covered,branch_total,failed,timeout,skipped
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,auto,22.549020,414,1836,14.132231,171,1210,0,0,0
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,manual,1.797386,33,1836,1.404959,17,1210,0,0,0
apache/shardingsphere,org.apache.shardingsphere.mode.manager.standalone.persist.service.StandaloneMetaDataManagerPersistService,auto,1.298701,2,154,0.000000,0,30,0,0,0
apache/shardingsphere,org.apache.shardingsphere.mode.manager.standalone.persist.service.StandaloneMetaDataManagerPersistService,manual,0.000000,0,154,0.000000,0,30,0,0,0
apache/shardingsphere,org.apache.shardingsphere.mode.manager.ContextManager,auto,5.617978,5,89,0.000000,0,6,0,0,0
apache/shardingsphere,org.apache.shardingsphere.mode.manager.ContextManager,manual,0.000000,0,89,0.000000,0,6,0,0,0
dropwizard/dropwizard,io.dropwizard.jersey.DropwizardResourceConfig,auto,96.610169,57,59,90.000000,9,10,0,0,0
dropwizard/dropwizard,io.dropwizard.jersey.DropwizardResourceConfig,manual,0.000000,0,0,0.000000,0,0,1,0,0
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,auto,93.430657,128,137,95.454545,42,44,0,0,0
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,manual,0.000000,0,137,0.000000,0,44,0,0,0
apache/dubbo,org.apache.dubbo.registry.client.ServiceDiscoveryRegistry,auto,0.000000,0,165,0.000000,0,52,0,0,0
apache/dubbo,org.apache.dubbo.registry.client.ServiceDiscoveryRegistry,manual,67.878788,112,165,57.692308,30,52,0,0,0
hazelcast/hazelcast,com.hazelcast.config.ConfigXmlGenerator,auto,0.000000,0,0,0.000000,0,0,0,1,0
hazelcast/hazelcast,com.hazelcast.config.ConfigXmlGenerator,manual,90.948746,834,917,74.000000,185,250,0,0,0
openapitools/openapi-generator,org.openapitools.codegen.languages.JavaClientCodegen,auto,80.428571,563,700,69.718310,297,426,0,0,0
openapitools/openapi-generator,org.openapitools.codegen.languages.JavaClientCodegen,manual,0.000000,0,0,0.000000,0,0,1,0,0
openapitools/openapi-generator,org.openapitools.codegen.DefaultCodegen,auto,32.729412,1391,4250,18.820225,536,2848,0,0,0
openapitools/openapi-generator,org.openapitools.codegen.DefaultCodegen,manual,0.000000,0,0,0.000000,0,0,1,0,0
alibaba/nacos,com.alibaba.nacos.client.config.impl.ClientWorker,manual,0.000000,0,236,0.000000,0,68,0,0,0
alibaba/nacos,com.alibaba.nacos.client.config.impl.ClientWorker,auto,0.000000,0,0,0.000000,0,0,0,0,1
apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,auto,0.000000,0,0,0.000000,0,0,0,0,1
apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,manual,77.149877,628,814,57.198444,147,257,0,0,0
apache/flink,org.apache.flink.runtime.scheduler.adaptive.AdaptiveScheduler,auto,0.000000,0,0,0.000000,0,0,0,0,1
apache/flink,org.apache.flink.runtime.scheduler.adaptive.AdaptiveScheduler,manual,85.077951,382,449,82.558140,71,86,0,0,0
apache/camel,org.apache.camel.component.kafka.KafkaConsumer,auto,0.000000,0,0,0.000000,0,0,0,0,1
apache/camel,org.apache.camel.component.kafka.KafkaConsumer,manual,0.000000,0,103,0.000000,0,38,0,0,0
prestodb/presto,com.facebook.presto.sql.SqlFormatter,auto,0.000000,0,0,0.000000,0,0,0,0,1
prestodb/presto,com.facebook.presto.sql.SqlFormatter,manual,0.000000,0,0,0.000000,0,0,0,0,1
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,auto,100.000000,527,527,0.000000,0,0,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,manual,0.000000,0,527,0.000000,0,0,0,0,0
wildfly/wildfly,org.jboss.as.ee.component.interceptors.InterceptorOrder,auto,0.000000,0,0,0.000000,0,0,0,0,1
wildfly/wildfly,org.jboss.as.ee.component.interceptors.InterceptorOrder,manual,0.000000,0,0,0.000000,0,0,0,0,1
codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.web.UiController,auto,0.000000,0,0,0.000000,0,0,0,0,1
