repo,fqcn,variant,line_percentage_coverage,line_covered,line_total,branch_percentage_coverage,branch_covered,branch_total,failed,timeout,skipped
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,manual,1.797386,33,1836,1.404959,17,1210,0,0,0
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,auto,22.549020,414,1836,14.132231,171,1210,0,0,0
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,adopted,22.494553,413,1836,14.380165,174,1210,0,0,0
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,agentic,5.882353,108,1836,4.132231,50,1210,0,0,0
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,manual,0.000000,0,137,0.000000,0,44,0,0,0
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,auto,93.430657,128,137,95.454545,42,44,0,0,0
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,adopted,94.160584,129,137,93.181818,41,44,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,manual,0.000000,0,527,0.000000,0,0,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,auto,100.000000,527,527,0.000000,0,0,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,adopted,100.000000,527,527,0.000000,0,0,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,agentic,100.000000,527,527,0.000000,0,0,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,manual,22.686230,201,886,75.000000,12,16,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,auto,99.661400,883,886,75.000000,12,16,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,adopted,94.130926,834,886,75.000000,12,16,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,agentic,63.431151,562,886,75.000000,12,16,0,0,0
seata/seata,io.seata.config.FileConfiguration,manual,0.000000,0,19,0.000000,0,0,0,0,0
seata/seata,io.seata.config.FileConfiguration,auto,84.210526,16,19,0.000000,0,0,0,0,0
seata/seata,io.seata.config.FileConfiguration,adopted,0.000000,0,19,0.000000,0,0,0,0,0
seata/seata,io.seata.config.FileConfiguration,agentic,52.631579,10,19,0.000000,0,0,0,0,0
apache/ignite,org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi,manual,1.436782,5,348,0.000000,0,174,0,0,0
apache/ignite,org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi,auto,1.436782,5,348,0.000000,0,174,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,manual,1.038961,20,1925,0.482625,5,1036,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,auto,24.207792,466,1925,8.880309,92,1036,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,adopted,24.467532,471,1925,9.362934,97,1036,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,agentic,24.467532,471,1925,9.362934,97,1036,0,0,0
alibaba/druid,com.alibaba.druid.sql.parser.SQLExprParser,manual,4.842615,180,3717,4.305800,98,2276,0,0,0
alibaba/druid,com.alibaba.druid.sql.parser.SQLExprParser,auto,4.842615,180,3717,4.305800,98,2276,0,0,0
camunda-cloud/zeebe,io.camunda.client.CamundaClient,manual,50.000000,2,4,0.000000,0,0,0,0,0
camunda-cloud/zeebe,io.camunda.client.CamundaClient,auto,50.000000,2,4,0.000000,0,0,0,0,0
camunda-cloud/zeebe,io.camunda.exporter.DefaultExporterResourceProvider,manual,83.435583,136,163,21.428571,3,14,0,0,0
camunda-cloud/zeebe,io.camunda.exporter.DefaultExporterResourceProvider,auto,98.159509,160,163,85.714286,12,14,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,manual,41.529412,706,1700,36.266094,507,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,auto,5.000000,85,1700,2.145923,30,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,adopted,5.000000,85,1700,2.145923,30,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,agentic,23.823529,405,1700,16.809728,235,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,manual,18.691589,60,321,10.569106,26,246,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,auto,68.847352,221,321,57.317073,141,246,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,adopted,71.339564,229,321,58.536585,144,246,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,agentic,71.339564,229,321,58.536585,144,246,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,manual,100.000000,67,67,0.000000,0,0,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,auto,100.000000,67,67,0.000000,0,0,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,adopted,100.000000,67,67,0.000000,0,0,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,agentic,100.000000,67,67,0.000000,0,0,0,0,0
