class_name,added_lines,added_methods,added_branches,added_instructions
org.apache.hc.client5.http.impl.classic.HttpClientBuilder,148,19,67,598
io.dropwizard.client.HttpClientBuilder,121,22,38,476
org.slf4j.LoggerFactory,96,19,26,290
org.apache.hc.core5.http.impl.EnglishReasonPhraseCatalog,72,3,0,246
ch.qos.logback.classic.LoggerContext,60,10,13,199
io.dropwizard.client.HttpClientConfiguration,44,20,0,107
ch.qos.logback.classic.util.ContextInitializer,43,7,9,184
org.apache.hc.client5.http.psl.PublicSuffixListParser,37,3,27,121
ch.qos.logback.classic.Logger,37,7,14,130
io.dropwizard.util.Duration,37,10,0,199
io.dropwizard.client.DropwizardSSLConnectionSocketFactory,32,9,9,106
org.apache.hc.core5.util.CharArrayBuffer,30,7,19,138
org.apache.hc.core5.ssl.SSLContextBuilder,30,6,8,104
org.apache.hc.core5.http.message.MessageSupport,29,3,6,103
org.apache.hc.core5.pool.StrictConnPool,28,3,1,100
ch.qos.logback.core.OutputStreamAppender,28,7,10,74
org.apache.hc.core5.http.protocol.HttpProcessorBuilder,27,12,10,95
org.apache.hc.core5.http.config.NamedElementChain,27,4,1,127
ch.qos.logback.core.BasicStatusManager,26,5,3,119
com.codahale.metrics.MetricRegistry,26,7,12,102
org.apache.hc.core5.util.Args,24,10,13,70
org.apache.hc.client5.http.config.RequestConfig$Builder,22,7,3,98
org.apache.hc.client5.http.config.RequestConfig,22,3,0,67
ch.qos.logback.classic.util.DefaultJoranConfigurator,21,6,6,72
org.apache.hc.core5.http.protocol.ChainBuilder,21,6,6,81
org.apache.hc.client5.http.impl.classic.ContentCompressionExec,21,2,6,67
org.apache.hc.core5.http.protocol.DefaultHttpProcessor,21,3,4,60
ch.qos.logback.core.ContextBase,21,8,3,78
org.apache.hc.core5.http.io.SocketConfig$Builder,20,4,1,85
io.dropwizard.client.proxy.AuthConfiguration,20,7,0,60
ch.qos.logback.core.status.StatusUtil,20,4,9,73
org.apache.hc.core5.util.TimeValue,20,11,4,83
io.dropwizard.client.proxy.ProxyConfiguration,19,8,0,50
ch.qos.logback.classic.spi.LogbackServiceProvider,19,7,1,60
org.apache.hc.client5.http.impl.io.ManagedHttpClientConnectionFactory,19,6,7,87
org.apache.hc.client5.http.impl.DefaultHttpRequestRetryStrategy,18,4,0,89
ch.qos.logback.classic.Level,18,2,0,73
org.slf4j.helpers.Reporter,18,7,6,75
org.apache.hc.client5.http.impl.io.PoolingHttpClientConnectionManager,18,6,3,70
ch.qos.logback.core.spi.ContextAwareBase,18,6,3,51
io.dropwizard.client.ssl.TlsConfiguration,17,9,0,51
org.apache.hc.core5.http.io.SocketConfig,17,3,0,52
ch.qos.logback.classic.BasicConfigurator,17,2,0,52
org.apache.hc.client5.http.psl.PublicSuffixMatcher,17,1,7,73
com.codahale.metrics.httpclient5.InstrumentedHttpClientConnectionManager$Builder,17,7,1,72
org.apache.hc.client5.http.psl.PublicSuffixMatcherLoader,16,4,4,55
ch.qos.logback.classic.util.ClassicEnvUtil,15,3,5,40
org.apache.hc.client5.http.auth.AuthScope,15,2,2,64
org.apache.hc.client5.http.ssl.SSLConnectionSocketFactory,15,5,1,70
org.apache.hc.client5.http.impl.classic.InternalHttpClient,14,2,1,58
ch.qos.logback.core.helpers.CyclicBuffer,14,4,2,41
org.apache.hc.core5.util.TextUtils,14,5,9,115
org.apache.hc.core5.http.message.BufferedHeader,14,3,4,51
org.apache.hc.core5.util.Timeout,14,7,1,57
ch.qos.logback.core.encoder.LayoutWrappingEncoder,14,5,4,46
com.codahale.metrics.httpclient5.InstrumentedHttpClientConnectionManager,14,4,0,106
ch.qos.logback.core.ConsoleAppender,13,4,1,42
org.apache.hc.core5.net.Host,13,4,6,50
org.apache.hc.core5.http.config.Http1Config$Builder,13,3,0,52
ch.qos.logback.core.spi.ContextAwareImpl,13,4,2,37
org.apache.hc.core5.http.config.Http1Config,13,3,0,40
org.apache.hc.client5.http.impl.PrefixedIncrementingId,13,1,0,114
org.apache.hc.client5.http.impl.io.DefaultHttpClientConnectionOperator,13,4,2,62
ch.qos.logback.core.status.StatusBase,12,5,0,37
ch.qos.logback.core.util.CachingDateFormatter,12,3,2,45
org.apache.hc.core5.http.HttpHost,12,6,1,45
org.apache.hc.client5.http.impl.classic.ConnectExec,12,2,1,44
ch.qos.logback.core.util.SimpleTimeBasedGuard,11,2,2,33
org.slf4j.helpers.SubstituteLoggerFactory,11,5,0,37
ch.qos.logback.core.util.Loader,11,5,3,29
ch.qos.logback.classic.pattern.ThrowableProxyConverter,11,2,2,29
ch.qos.logback.core.UnsynchronizedAppenderBase,11,4,0,36
org.apache.hc.client5.http.impl.io.DefaultHttpResponseParserFactory,10,4,4,37
ch.qos.logback.core.util.COWArrayList,10,3,0,30
org.apache.hc.core5.http.impl.io.HttpRequestExecutor,10,3,2,30
ch.qos.logback.core.util.EnvUtil,10,2,4,24
org.apache.hc.client5.http.config.ConnectionConfig,9,3,0,28
ch.qos.logback.core.util.StatusPrinter2,9,3,3,30
org.apache.hc.core5.http.config.RegistryBuilder,9,4,0,35
org.apache.hc.core5.http.message.BasicLineParser,9,3,1,27
org.apache.hc.core5.http.impl.io.DefaultHttpRequestWriterFactory,9,4,3,30
org.apache.hc.core5.http.HttpVersion,9,2,0,54
org.apache.hc.client5.http.auth.BasicUserPrincipal,9,2,0,30
com.codahale.metrics.httpclient5.InstrumentedHttpRequestExecutor,9,3,0,31
org.apache.hc.client5.http.config.ConnectionConfig$Builder,9,4,1,32
org.slf4j.helpers.Util,9,3,2,20
org.apache.hc.client5.http.impl.classic.MainClientExec,9,2,0,42
org.apache.hc.client5.http.impl.classic.ProtocolExec,8,2,2,39
org.apache.hc.client5.http.psl.PublicSuffixList,8,4,2,33
ch.qos.logback.core.pattern.DynamicConverter,8,4,1,24
ch.qos.logback.core.joran.spi.ConsoleTarget,8,3,0,37
org.apache.hc.client5.http.impl.classic.RedirectExec,7,2,0,21
org.apache.hc.client5.http.auth.UsernamePasswordCredentials,7,3,0,24
ch.qos.logback.classic.util.LoggerNameUtil,7,1,5,26
ch.qos.logback.core.LayoutBase,7,5,0,17
org.apache.hc.core5.http.ProtocolVersionParser,7,2,0,23
org.apache.hc.core5.http.config.CharCodingConfig,7,2,0,20
org.apache.hc.core5.util.Tokenizer,6,6,4,34
io.dropwizard.client.proxy.NonProxyListProxyRoutePlanner,6,3,1,18
org.apache.hc.core5.http.protocol.RequestUserAgent,6,3,0,15
org.apache.hc.client5.http.impl.CookieSpecSupport,6,3,0,28
org.apache.hc.core5.http.impl.io.DefaultClassicHttpResponseFactory,6,3,0,18
ch.qos.logback.classic.layout.TTLLLayout,6,2,0,20
org.apache.hc.client5.http.impl.DefaultRedirectStrategy,6,3,1,17
org.apache.hc.client5.http.impl.auth.AuthChallengeParser,6,2,0,22
org.apache.hc.core5.http.protocol.RequestContent,6,3,0,15
org.apache.hc.core5.http.config.NamedElementChain$Node,6,3,2,26
org.apache.hc.client5.http.impl.auth.BasicCredentialsProvider,6,2,0,19
org.slf4j.helpers.SubstituteServiceProvider,6,2,0,21
org.apache.hc.client5.http.ssl.DefaultHostnameVerifier,6,3,0,14
org.apache.hc.client5.http.protocol.RequestDefaultHeaders,6,3,0,15
org.apache.hc.client5.http.impl.DefaultAuthenticationStrategy,5,2,0,28
org.slf4j.helpers.NOP_FallbackServiceProvider,5,2,0,21
ch.qos.logback.core.spi.AppenderAttachableImpl,5,2,1,17
