test_selector,class_name,newly_covered_lines,upgraded_to_full_lines
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.operations.validation.NillableOrExpressionParameterValidator,37-42;76;80;84,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.connector._private.Capabilities,42-44;46-48;50-52,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.jca.common.api.metadata.common.Extension$Attribute,243;248;253;258;269-271;280;295-296;298-300;302-303,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.AttributeParsers$PropertiesParser,134-135;142-143;150-151,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.AttributeMarshallers$ObjectMapAttributeMarshaller,118-120;123-124;135-136,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.operations.validation.StringLengthValidator,26-27;51-54,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.AttributeMarshaller$ObjectMarshaller,146;149-151,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.access.constraint.SensitivityClassification,17-42;49-53;56-62;65;69;73;97,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.access.management.SensitiveTargetAccessConstraintDefinition,25-50;55;57-61,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.operations.validation.EnumValidator,31;35;63-66;73-76;96,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.access.constraint.AbstractSensitivity,36-40,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.AttributeParser$WrappedSimpleAttributeParser,139,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.client.helpers.MeasurementUnit,17;20-21;24-29;32-37;40-41;44-51;54-61;64-66;72-73;77-80,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.jca.common.api.metadata.ds.DsPool$Tag,56;61;66;71;76;81;86;91;96;101;106;111;121-123;132;147-148;150-152;154-155,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.PrimitiveListAttributeDefinition$Builder,151-154;162;166;171,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.dmr.ModelType,24-38;42-44,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.AttributeParsers$AttributeElementParser,33-35,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.access.management.AccessConstraintKey,23-28,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.DeprecationData,23;42-46,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.connector.subsystems.datasources.DataSourcesExtension,149;151;154-156;158,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.ObjectListAttributeDefinition,40-42,
org.jboss.as.connector.subsystems.datasources.Constants_ESTest_Adopted#shouldInstantiateConstantsWithoutException,org.jboss.as.controller.PrimitiveListAttributeDefinition,32-34,
